"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2018,8,116629871,1,3,11577526
2018,5,116016988,0.6,1,11391811
2018,5,116029783,0.05,1,11391814
2018,15,116029799,5,9,11381714
2018,5,116029759,2.7,1,11386288
2018,4,116029780,1,1,11391813
2018,17,116017030,2,9,11391835
2018,5,116017030,0.9,1,11391834
2018,5,116029867,0.1,1,11391842
2018,5,116029771,1.3,1,11391810
2018,8,116016964,0.1,3,11381701
2018,5,116016964,3.1,3,11391802
2018,8,116016964,0.05,7,11381700
2018,2,116017004,11,1,11391818
2018,5,116029814,1.3,1,11391824
2018,1,116017023,1,1,11381716
2018,5,116017023,18.6,1,11381717
2018,5,116016997,45.4,1,11391817
2018,5,116016997,0.025,7,11391816
2018,5,116029822,0.01,1,11391827
2018,5,116029873,5,1,11391844
2018,5,116029845,0.8,1,11391830
2018,5,116029770,4.4,1,11391809
2018,12,116029819,0.1,1,11391826
2018,5,116017031,4.4,1,11391836
2018,16,116017031,40,9,11391837
2018,5,116029869,1,1,11381721
2018,5,116029882,54,1,11391846
2018,11,116029882,4,1,11381724
2018,16,116043788,4,9,11402205
2018,8,116043788,1,9,11402204
2018,17,116016987,0.1,1,11391808
2018,8,113079677,1,11,10779494
2018,5,113079677,1,11,10779495
2018,8,113070563,1,11,10783167
2018,12,113070617,,,10779508
2018,5,113070629,,,10775475
2018,5,113077467,28.6,1,10783200
2018,5,113079705,1,11,10775462
2018,16,113079705,1,11,10779502
2018,8,113079737,,,10775473
2018,5,113079737,,,10775474
2018,12,113077464,,,10783198
2018,5,113077464,,,10775482
2018,5,113077389,1,11,10783168
2018,5,116029785,0.5,1,11391815
2018,12,116029863,0.01,1,11391840
2018,5,116029876,1,1,11391845
2018,5,116029876,1,7,11381723
2018,5,116029787,0.1,1,11381713
2018,5,116029936,444,1,11391855
2018,5,116029782,1,1,11381712
2018,12,116029748,0.999,1,11391803
2018,5,116029748,1,1,11381704
2018,5,116029765,8.2,1,11391807
2018,5,116029823,0.7,1,11391828
2018,5,116016995,3.8,1,11381711
2018,5,116017046,7,1,11391848
2018,5,116029719,6.5,1,11381699
2018,18,116029719,,,11391801
2018,8,116029719,1,9,11391800
2018,5,116029830,2.1,1,11391829
2018,5,116029865,3.2,1,11391841
2018,4,116029886,1,1,11391847
2018,12,116029886,5,1,11391849
2018,5,116016966,0.8,1,11381702
2018,1,116016982,1,1,11391806
2018,12,116029758,4,9,11391805
2018,5,116017035,0.1,1,11381720
2018,4,116016972,0.9,1,11381703
2018,16,116029757,2,9,11381710
2018,8,116029757,1,3,11391804
2018,9,116029757,23,9,11381709
2018,5,116029815,3.5,1,11391825
2018,5,116029848,4.9,1,11391833
2018,12,116016979,0.11,1,11381708
2018,5,116029827,1.9,1,11381715
2018,5,116029855,0.01,1,11391838
2018,5,116016955,1.801,1,11391797
2018,5,116029761,1.51,1,11386289
2018,8,116017028,4,9,11391832
2018,5,116017028,1,1,11391831
2018,5,116029861,13.7,1,11391839
2018,16,116016975,4,9,11381706
2018,15,116029752,4,9,11381707
2018,5,116029778,1,1,11391812
2018,5,116024392,15.4,1,11391822
2018,17,116024392,2,9,11391823
2018,5,116029862,3.4,1,11381719
2018,5,116029810,8.8,1,11391821
2018,5,116029747,15.6,1,11381705
2018,12,116029807,2,1,11391820
2018,8,116029807,2,9,11391819
2018,17,116049243,,,11397245
2018,4,116029716,0.001,1,11391799
2018,5,116029857,2,1,11381718
2018,5,116017042,2,7,11391843
2018,5,116017042,61,1,11381722
2018,8,116644865,3,9,11577527
2018,5,113077437,1,3,10783186
2018,5,113070620,,,10783190
2018,12,113079723,1,11,10775468
2018,8,113070620,,,10783189
2018,12,113070620,,,10783188
2018,5,113079740,,,10775476
2018,7,113079761,0.05,9,10775484
2018,15,113079761,7.5,9,10775485
2018,5,113070605,1,1,10783183
2018,5,113079755,,,10779514
2018,5,113070590,1,11,10783174
2018,8,113070590,1,9,10775463
2018,5,113077474,1,1,10783202
2018,5,113077466,1,1,10779516
2018,5,113079770,20,1,10775488
2018,2,113077484,,,10779526
2018,8,113079719,1,9,10783182
2018,12,113079746,,,10779512
2018,5,113070645,1,1,10779518
2018,5,113079687,1,3,10775459
2018,5,113077368,1,11,10783164
2018,12,113077366,1,11,10779489
2018,16,113077367,3,9,10779490
2018,5,113077367,1,11,10779488
2018,8,113077371,,,10775454
2018,5,113070552,1,11,10775455
2018,5,113079673,1,11,10775456
2018,12,113079673,1,11,10783165
2018,12,113077377,1,11,10779493
2018,5,113077387,1,11,10775457
2018,5,113079685,1,11,10779497
2018,16,113079685,1,11,10779498
2018,5,113079690,1,11,10779499
2018,12,113079695,1,11,10775460
2018,5,113077402,2,9,10783171
2018,8,113070585,1,11,10783172
2018,5,113070586,0.78,3,10775461
2018,5,113070600,1,11,10779504
2018,12,113070601,69,4,10783176
2018,5,113070601,30,4,10783177
2018,5,113077424,1,11,10783178
2018,5,113077426,1,3,10783180
2018,5,113079718,1,1,10779506
2018,8,113070623,,,10783192
2018,12,113070623,,,10775472
2018,5,113070648,20,1,10779520
2018,5,113077428,1,1,10783181
2018,5,113070604,5,4,10779505
2018,5,113079722,1,1,10775467
2018,12,113070616,2,9,10775470
2018,5,113077458,,,10783194
2018,5,113077460,,,10779515
2018,5,113077462,,,10783197
2018,5,113079758,,,10775481
2018,5,113077465,28.35,1,10783199
2018,5,113077477,28,1,10779522
2018,5,113077479,28,1,10779523
2018,8,113077442,,,10775471
2018,5,113077468,2,1,10783201
2018,5,113070651,20,1,10779521
2018,12,116046934,4,1,11406783
2018,16,116046934,3,1,11406784
2018,5,116046934,1,1,11406782
2018,12,113077447,,,10779511
2018,12,113079754,,,10775479
2018,12,113070647,1,1,10779519
2018,8,113079714,1,11,10775465
2018,5,113079714,1,11,10775464
2018,5,113079748,,,10783193
2018,12,113079757,,,10783196
2018,5,113077379,1,11,10783166
2018,5,113079704,1,11,10783173
2018,5,113079724,1,3,10783185
2018,5,113070643,,,10775478
2018,12,113070643,,,10779513
2018,8,113070643,,,10775477
2018,5,113070566,1,11,10783170
2018,12,113070621,,,10779510
2018,5,113077459,,,10775480
2018,8,113077459,,,10783195
2018,12,116644866,13.8,1,11572537
2018,5,113079701,1,11,10779501
2018,12,113070618,,,10779509
2018,5,113079679,1,11,10775458
2018,15,113079769,2,9,10775486
2018,12,113079769,1,1,10775487
2018,12,113077385,2,1,10779496
2018,5,113070583,5,1,10779500
2018,5,113077425,,,10783179
2018,12,113079726,1,9,10783187
2018,5,113070644,1,1,10779517
2018,12,113079669,1,11,10783163
2018,12,113079680,1,11,10783169
2018,5,113077433,1,1,10779507
2018,5,113079760,,,10775483
2018,12,113070654,1,1,10779524
2018,5,113070654,20,1,10779525
2018,12,113079729,,,10783191
2018,12,116047049,58,1,11406812
2018,5,116043785,2,9,11397246
2018,5,116043785,1,1,11406779
2018,12,116043785,22,1,11406780
2018,5,116046923,1,9,11406781
2018,15,113079768,19,9,10783204
2018,12,113070597,1,11,10779503
2018,12,113070610,1,1,10783184
2018,5,113079768,17.4,1,10783203
2018,5,113070551,1,1,10779492
2018,5,113079715,10,4,10775466
2018,5,113077369,,,10779491
2018,5,113070592,1,11,10783175
2018,5,113079725,1,1,10775469
